parameter,value,is_nominal,scenario,n_runs,alarm_dropped_rate_mean,alarm_dropped_rate_ci_lower,alarm_dropped_rate_ci_upper,legitimate_alarm_dropped_rate_mean,legitimate_alarm_dropped_rate_ci_lower,legitimate_alarm_dropped_rate_ci_upper,legitimate_alarm_n,abnormal_alarm_dropped_rate_mean,alarm_avg_latency_mean,alarm_avg_latency_ci_lower,alarm_avg_latency_ci_upper,background_wait_mean_mean,background_wait_mean_ci_lower,background_wait_mean_ci_upper,activation_churn_mean,activation_churn_ci_lower,activation_churn_ci_upper,stable,expected_drop_floor
alarm_source_abnormal_threshold,0.25,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_source_abnormal_threshold,0.5,1,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_source_abnormal_threshold,1.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_source_abnormal_threshold,1.5,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_source_abnormal_threshold,2.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_source_abnormal_threshold,3.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_source_abnormal_threshold,5.0,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_source_deactivation_threshold,0.05,0,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_source_deactivation_threshold,0.1,0,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_source_deactivation_threshold,0.25,1,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_source_deactivation_threshold,0.4,0,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_source_deactivation_threshold,0.5,0,alarm_flood_attack,20,0.8454545454545453,0.8454545454545453,0.8454545454545453,0.0,nan,nan,20.0,0.93,0.03066176959605424,0.025966164877357385,0.0353573743147511,0.0,nan,nan,2.0,nan,nan,1,0.31818181818181823
alarm_source_deactivation_threshold,0.05,0,alarm_malfunction_surge,20,0.5165,0.5130332665328508,0.5199667334671492,0.0,nan,nan,20.0,0.5436842105263159,0.051324026296377646,0.03808939415527778,0.06455865843747752,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_source_deactivation_threshold,0.1,0,alarm_malfunction_surge,20,0.5165,0.5130332665328508,0.5199667334671492,0.0,nan,nan,20.0,0.5436842105263159,0.051324026296377646,0.03808939415527778,0.06455865843747752,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_source_deactivation_threshold,0.25,1,alarm_malfunction_surge,20,0.5165,0.5130332665328508,0.5199667334671492,0.0,nan,nan,20.0,0.5436842105263159,0.051324026296377646,0.03808939415527778,0.06455865843747752,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_source_deactivation_threshold,0.4,0,alarm_malfunction_surge,20,0.5165,0.5130332665328508,0.5199667334671492,0.0,nan,nan,20.0,0.5436842105263159,0.051324026296377646,0.03808939415527778,0.06455865843747752,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_source_deactivation_threshold,0.5,0,alarm_malfunction_surge,20,0.5165,0.5130332665328508,0.5199667334671492,0.0,nan,nan,20.0,0.5436842105263159,0.051324026296377646,0.03808939415527778,0.06455865843747752,0.0,nan,nan,9.0,nan,nan,1,0.25
alarm_source_deactivation_threshold,0.05,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_source_deactivation_threshold,0.1,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_source_deactivation_threshold,0.25,1,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_source_deactivation_threshold,0.4,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
alarm_source_deactivation_threshold,0.5,0,legit_extreme_emergency,20,0.0,nan,nan,0.0,nan,nan,30.0,0.0,0.14582684451509273,0.12365454172825588,0.16799914730192958,0.06994096244976758,0.059974209947449925,0.07990771495208523,0.0,nan,nan,1,
